dataset_key,dataset_name,k,method,variant,action,candidate_mode,target_top_player,target_outside_player,selected_order,model_a,model_b,winner,match_id,match_copy,outcome,influence,influence_abs,fitted_probability,residual,leverage,objective_value,row_uid,candidate_probability,_candidate_x,raw_influence
llm_judge_arena,Chatbot Arena LLM Judges,31,nonci,drop,drop,,openchat-3.5-0106,qwen1.5-7b-chat,0,qwen1.5-7b-chat,openchat-3.5-0106,0.0,32071,forward,0.0,-0.010025943026058998,0.010025943026058998,0.4979959890380103,-0.4979959890380103,0.0050078587411500905,0.00801608677225582,32071,,,
llm_judge_arena,Chatbot Arena LLM Judges,31,nonci,drop,drop,,openchat-3.5-0106,qwen1.5-7b-chat,1,openchat-3.5-0106,qwen1.5-7b-chat,1.0,32071,reverse,1.0,-0.010025943026058998,0.010025943026058998,0.5020040109619897,0.49799598903801034,0.005007858741150091,0.00801608677225582,82009,,,
llm_judge_arena,Chatbot Arena LLM Judges,31,nonci,flip,flip,,openchat-3.5-0106,qwen1.5-7b-chat,0,qwen1.5-7b-chat,openchat-3.5-0106,0.0,49634,forward,0.0,-0.020031857061897175,0.020031857061897175,0.4979959890380103,-0.4979959890380103,0.0050078587411500905,0.00801608677225582,49634,,,
llm_judge_arena,Chatbot Arena LLM Judges,31,nonci,flip,flip,,openchat-3.5-0106,qwen1.5-7b-chat,1,openchat-3.5-0106,qwen1.5-7b-chat,1.0,49634,reverse,1.0,-0.020031857061897175,0.020031857061897175,0.5020040109619897,0.49799598903801034,0.005007858741150091,0.00801608677225582,99572,,,
llm_judge_arena,Chatbot Arena LLM Judges,31,nonci,add_pairs,add,all_pairs,openchat-3.5-0106,qwen1.5-7b-chat,0,wizardlm-13b,qwen1.5-7b-chat,,51415,reverse,0.0,-0.005347147451603715,0.005347147451603715,,,,,2955,1.0,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-0.005347147451603715
llm_judge_arena,Chatbot Arena LLM Judges,31,nonci,add_pairs,add,all_pairs,openchat-3.5-0106,qwen1.5-7b-chat,1,qwen1.5-7b-chat,wizardlm-13b,,51415,forward,1.0,-0.0053471474516037145,0.0053471474516037145,,,,,2954,1.0,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-0.0053471474516037145
llm_judge_arena,Chatbot Arena LLM Judges,31,nonci,add_outcomes,add,all_outcomes,openchat-3.5-0106,qwen1.5-7b-chat,0,openchat-3.5-0106,qwen1.5-7b-chat,,53876,reverse,0.0,-0.010005914035838177,0.010005914035838177,,,,,7877,0.4979959890380103,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.
  0.  0.  0.  0.  0.  0.  0.  1.  0.]",-0.010005914035838177
llm_judge_arena,Chatbot Arena LLM Judges,31,nonci,add_outcomes,add,all_outcomes,openchat-3.5-0106,qwen1.5-7b-chat,1,qwen1.5-7b-chat,openchat-3.5-0106,,53876,forward,1.0,-0.010005914035838177,0.010005914035838177,,,,,7876,0.4979959890380103,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  0.  0.  0.  0.  0. -1.  0.]",-0.010005914035838177
llm_judge_arena,Chatbot Arena LLM Judges,31,nonci,add_weighted,add,weighted,openchat-3.5-0106,qwen1.5-7b-chat,0,qwen1.5-7b-chat,openchat-3.5-0106,,53876,forward,1.0,-0.004982905056506543,0.004982905056506543,,,,,7876,0.4979959890380103,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  0.  0.  0.  0.  0. -1.  0.]",-0.010005914035838177
llm_judge_arena,Chatbot Arena LLM Judges,31,nonci,add_weighted,add,weighted,openchat-3.5-0106,qwen1.5-7b-chat,1,openchat-3.5-0106,qwen1.5-7b-chat,,53876,reverse,0.0,-0.004982905056506543,0.004982905056506543,,,,,7877,0.4979959890380103,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.
  0.  0.  0.  0.  0.  0.  0.  1.  0.]",-0.010005914035838177
