dataset_key,dataset_name,variant,action,candidate_mode,target_player_a,target_player_b,selected_order,model_a,model_b,winner,match_id,match_copy,outcome,influence,influence_abs,fitted_probability,residual,leverage,objective_value,row_uid
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,0,claude-v1,llama-13b,0.0,1153,forward,0.0,-0.001733797836719676,0.001733797836719676,0.8896977396149641,-0.8896977396149641,0.0005543292279864171,0.37819503728739257,1153
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,1,llama-13b,claude-v1,1.0,1007,forward,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,1007
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,2,llama-13b,claude-v1,1.0,1470,forward,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,1470
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,3,llama-13b,claude-v1,1.0,1471,forward,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,1471
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,4,llama-13b,claude-v1,1.0,1430,forward,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,1430
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,5,claude-v1,llama-13b,0.0,3181,forward,0.0,-0.001733797836719676,0.001733797836719676,0.8896977396149641,-0.8896977396149641,0.0005543292279864171,0.37819503728739257,3181
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,6,llama-13b,claude-v1,1.0,1884,forward,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,1884
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,7,llama-13b,claude-v1,1.0,1148,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,4503
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,8,llama-13b,claude-v1,1.0,1149,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,4504
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,9,llama-13b,claude-v1,1.0,1150,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,4505
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,10,llama-13b,claude-v1,1.0,1153,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,4508
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,11,claude-v1,llama-13b,0.0,391,forward,0.0,-0.001733797836719676,0.001733797836719676,0.8896977396149641,-0.8896977396149641,0.0005543292279864171,0.37819503728739257,391
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,12,llama-13b,claude-v1,1.0,9,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,3364
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,13,llama-13b,claude-v1,1.0,1971,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,5326
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,14,llama-13b,claude-v1,1.0,1972,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,5327
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,15,llama-13b,claude-v1,1.0,869,forward,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,869
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,16,llama-13b,claude-v1,1.0,1192,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,4547
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,17,llama-13b,claude-v1,1.0,1193,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,4548
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,18,claude-v1,llama-13b,0.0,648,forward,0.0,-0.001733797836719676,0.001733797836719676,0.8896977396149641,-0.8896977396149641,0.0005543292279864171,0.37819503728739257,648
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,19,claude-v1,llama-13b,0.0,1884,reverse,0.0,-0.001733797836719676,0.001733797836719676,0.8896977396149641,-0.8896977396149641,0.0005543292279864171,0.37819503728739257,5239
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,20,llama-13b,claude-v1,1.0,1026,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,4381
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,21,llama-13b,claude-v1,1.0,1027,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,4382
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,22,llama-13b,claude-v1,1.0,91,reverse,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,3446
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,23,llama-13b,claude-v1,1.0,2799,forward,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,2799
mt_bench_human,MT-Bench Human Judgments,drop,drop,,gpt-4,claude-v1,24,llama-13b,claude-v1,1.0,1600,forward,1.0,-0.001733797836719676,0.001733797836719676,0.1103022603850359,0.8896977396149641,0.0005543292279864171,0.37819503728739257,1600
